,GLD,HYG,IEF,QQQ,SPY
2023-10-16,-0.10565968646450676,-0.1700625447370478,-0.08850182448455507,-0.28032753094746365,-0.35544841336642685
2023-10-17,-0.2712144629447775,-0.16773750288283115,-0.05066733991414506,-0.15703763231416198,-0.35334306194408427
2023-10-18,-0.5485813212169064,-0.15568448656556616,-0.11309147101439496,0.10248136343878639,-0.08016135776434623
2023-10-19,-0.5159821469488876,-0.180017002728348,-0.10775739141267614,0.09001906728984876,-0.10622439162023961
2023-10-20,-0.2612866147293914,-0.1992291862381139,-0.21513264497000195,0.2589492623762509,0.06540229168624184
2023-10-23,-0.25607855110714955,-0.33866510269687716,-0.29951928350911394,0.01532724847583513,-0.09040981421102412
2023-10-24,-0.23394805669507396,-0.2740497942854361,-0.19354296439511315,-0.09628938286204372,-0.202169801762333
2023-10-25,-0.2730996789911597,-0.12414229204241016,-0.04267575458782114,0.42390217132615066,0.13618010305245834
2023-10-26,-0.15124880189114007,-0.16385805640333706,-0.17573986261757746,0.3612646891756854,0.14788858991225987
2023-10-27,-0.36203090598269755,-0.1721504830422957,-0.1729161193896022,0.17006532337428787,0.12283716821111648
2023-10-30,-0.1747727014549574,-0.34118792530864805,-0.20825376236149956,0.023783639272261844,-0.25200197160263316
2023-10-31,-0.1312984181472775,-0.372292183605915,-0.2234982078624137,0.09297762340141802,-0.17993356698297588
2023-11-01,-0.05856149129024334,-0.3120329780201099,-0.30201905661957545,-0.1289038512536714,-0.19848262281639983
2023-11-02,-0.10998373115489825,-0.2497551028685718,-0.1829642411662592,-0.17193464919576254,-0.2853622756145082
2023-11-03,-0.10136053697858789,-0.25108641042903473,-0.21085805239689193,-0.1751212151079345,-0.26157378508755086
2023-11-06,0.05858834381535245,-0.1866137232764905,-0.12436279123497383,-0.2398478554825674,-0.39058728619061583
2023-11-07,0.05706449988671246,-0.16040454898249235,-0.20955653347862602,-0.26898841296019893,-0.3039860046919703
2023-11-08,0.14958791953609074,-0.1699119247333396,-0.19346079090499294,-0.18930086568665033,-0.2977384991389264
2023-11-09,-0.09536179970631802,-0.21498265741438127,-0.08206853222794698,-0.21456944389497523,-0.3930175667563786
2023-11-10,0.09553041002867325,-0.1557964522679868,-0.11164344398523514,-0.31921621791422916,-0.31781347580387564
2023-11-13,-0.036272074559418575,-0.19728238274692433,-0.17374090432887146,-0.2273050880063906,-0.36539955035839505
2023-11-14,-0.03161757355958006,-0.1609752869969891,-0.18351898868670033,-0.2963385702526309,-0.3275495805040995
