,AGG,ASML,DBA,EFA,GLD,IWM,META,MSFT,NVDA,QQQ,SPY,TLT,UUP,VNQ,VWO,XLE,XLF,XLI,XLP,XLU,XLV
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-04,0.0,0.00955013646370636,0.0,0.0,0.0,0.0033593918770940183,0.0075520342423497505,0.011832281302119047,0.026182034477933207,0.007987393457775658,0.00814217827817326,0.0,0.0,0.006337868909614119,0.0,0.011697331834489717,0.0,0.0,0.0,0.0,0.003885858074265911
2022-01-05,0.0,0.00037860119428586095,0.0,0.0,0.0,0.00010243795869130465,0.000251870948943779,0.0004142658427518601,0.0014187498338707125,0.00021840892717344632,0.00012884223311571477,0.0,0.0,0.0001599768076654311,0.0,-3.755609777176573e-05,0.0,0.0,0.0,0.0,1.4544367517104438e-05
2022-01-06,0.0,-0.00021306723910934945,0.0,0.0,0.0,-1.5491541369477748e-05,-0.00018488379422967795,0.0001064510300519371,-0.0005158431594744564,1.4350345363919534e-05,1.655738570792431e-05,0.0,0.0,1.2583527782359522e-06,0.0,-0.00024809491272424593,0.0,0.0,0.0,0.0,4.919527836465525e-05
2022-01-07,0.0,7.809732009421075e-05,0.0,0.0,0.0,3.5448316297336836e-05,7.4981100311229815e-06,-1.8132025381043318e-05,0.00083836411113054,7.836657516112865e-05,2.386666149449719e-05,0.0,0.0,3.5483313391096276e-05,0.0,-0.0001724234000570913,0.0,0.0,0.0,0.0,1.5883138429055067e-05
2022-01-10,0.0,0.0003621508944379216,0.0,0.0,0.0,1.0504947693024472e-05,8.207795366289329e-05,-1.2741973420927338e-05,-0.00015605507623519393,-8.011041936241414e-06,7.327516105146148e-06,0.0,0.0,3.435352649149102e-05,0.0,3.220142579865755e-05,0.0,0.0,0.0,0.0,-4.125678255357092e-05
2022-01-11,0.0,-1.4066752154826348e-05,0.0,0.0,0.0,-3.1486040394124084e-05,-0.00013549101428363824,-1.1782011979830434e-05,-0.0003654099993008336,-0.00010990262297130328,-6.387731494764126e-05,0.0,0.0,-1.7513275148662785e-06,0.0,-0.0003831337017479418,0.0,0.0,0.0,0.0,-2.601071840595444e-05
2022-01-12,0.0,-0.0001657634656316298,0.0,0.0,0.0,2.6647457800044703e-05,2.874896889778697e-05,-0.00011783741830178295,-0.0001585763855040459,-2.778768873491419e-05,-1.8048948600813894e-05,0.0,0.0,-4.36731028735475e-06,0.0,-1.650403194825359e-05,0.0,0.0,0.0,0.0,1.2969859080219116e-05
2022-01-13,0.0,0.0001305733248126422,0.0,0.0,0.0,2.1999441178074085e-05,0.00013387491851788152,0.0004698292520090609,0.0012631481841340296,0.0001789102527748861,9.087088262838688e-05,0.0,0.0,-4.0025243690467935e-06,0.0,2.8452186207384572e-05,0.0,0.0,0.0,0.0,5.0214780076612495e-05
2022-01-14,0.0,-0.00017802595569156414,0.0,0.0,0.0,-8.360921408948931e-07,-0.00011667724831251024,-0.00019600702165398914,-0.00033141998764872616,-4.049583511670646e-05,6.056763661797804e-06,0.0,0.0,6.468527039817443e-05,0.0,-0.0002612038136754081,0.0,0.0,0.0,0.0,1.1135148313567381e-05
